grupo_despesa;elemento_despesa;qtd_pagamentos;valor_total;valor_medio;participacao_percentual
Múltiplo;Múltiplo;27;90974702,11;3369433,41;28,78
Pessoal e Encargos Sociais;Vencimentos e Vantagens Fixas - Pessoal Civil;66;89224628,59;1351888,31;28,22
Pessoal e Encargos Sociais;Obrigações Patronais;21;34799240,59;1657106,69;11,01
Pessoal e Encargos Sociais;Múltiplo;19;31885555,08;1678187,11;10,09
Outras Despesas Correntes;Outros Serviços de Terceiros - Pessoa Juríd;989;21366463,97;21604,11;6,76
Outras Despesas Correntes;Locação de Mão-de-Obra;2572;12504466,57;4861,77;3,96
Pessoal e Encargos Sociais;Aposentadorias, Reserva Remunerada e Reformas;23;9264047,0;402784,65;2,93
Investimentos;Obras e Instalações;73;4825082,24;66097,02;1,53
Sem informação;Sem informação;739;3731472,2;5049,35;1,18
Outras Despesas Correntes;Material de Consumo;1420;3105872,53;2187,23;0,98
Pessoal e Encargos Sociais;Pensões;36;2754971,19;76526,98;0,87
Outras Despesas Correntes;Múltiplo;90;2332465,48;25916,28;0,74
Outras Despesas Correntes;Auxílio Financeiro a Estudantes;6284;2213540,41;352,25;0,7
Investimentos;Equipamentos e Material Permanente;77;1891484,4;24564,73;0,6
Pessoal e Encargos Sociais;Contribuição a Entidades Fechadas de Previd;6;1464872,58;244145,43;0,46
